cod_ibge,nome_municipio,mort_2019,mort_2020,mort_2021,mort_2022,mort_2023,mort_total,aih_aprovadas,valor_total_reais,populacao,pib_medio_mil_reais,taxa_mort_100k,taxa_proc_100k,pib_per_capita,crescimento_mort
150480,MONTE ALEGRE,33.0,49.0,54.0,43.0,26.0,205.0,0.0,0.0,58289,7741943.6,351.69586028238604,0.0,132819.97632486405,-21.21212121212121
150490,MUANA,31.0,10.0,28.0,15.0,9.0,93.0,0.0,0.0,41454,3099569.6,224.34505717180488,0.0,74771.30313118156,-70.96774193548387
150495,NOVA ESPERANCA DO PIRIA,6.0,5.0,13.0,9.0,3.0,36.0,0.0,0.0,21519,2475962.0,167.2940192388122,0.0,115059.34290626888,-50.0
150497,NOVA IPIXUNA,4.0,5.0,6.0,6.0,6.0,27.0,0.0,0.0,17027,1621848.2,158.57168027250836,0.0,95251.55341516415,50.0
150500,NOVA TIMBOTEUA,5.0,3.0,2.0,7.0,7.0,24.0,0.0,0.0,15646,1310631.2,153.393838680813,0.0,83767.81285951681,40.0
150503,NOVO PROGRESSO,8.0,11.0,12.0,5.0,8.0,44.0,0.0,0.0,25769,9381013.8,170.7477977414723,0.0,364042.6015755365,0.0
150506,NOVO REPARTIMENTO,47.0,35.0,34.0,17.0,30.0,163.0,0.0,0.0,78488,9561675.4,207.67505860768526,0.0,121823.40485169708,-36.17021276595745
150510,OBIDOS,22.0,24.0,17.0,20.0,17.0,100.0,0.0,0.0,52473,7731863.0,190.57420006479524,0.0,147349.36062355878,-22.727272727272727
150520,OEIRAS DO PARA,10.0,11.0,11.0,17.0,8.0,57.0,0.0,0.0,33182,3774747.6,171.77988065818818,0.0,113758.89337592671,-20.0
150530,ORIXIMINA,21.0,24.0,19.0,20.0,13.0,97.0,0.0,0.0,74921,17053704.8,129.46970809252412,0.0,227622.49302598738,-38.095238095238095
150540,OUREM,3.0,7.0,2.0,5.0,7.0,24.0,0.0,0.0,18079,1864379.0,132.75070523812158,0.0,103124.01128380994,133.33333333333331
150543,OURILANDIA DO NORTE,10.0,1.0,5.0,6.0,6.0,28.0,0.0,0.0,33831,9945514.4,82.76432857438444,0.0,293976.36487245426,-40.0
150548,PACAJA,15.0,20.0,23.0,14.0,21.0,93.0,0.0,0.0,49110,7690749.2,189.37080024434943,0.0,156602.50865404194,40.0
150549,PALESTINA DO PARA,2.0,1.0,2.0,3.0,4.0,12.0,0.0,0.0,7575,867590.6,158.41584158415841,0.0,114533.41254125413,100.0
150550,PARAGOMINAS,31.0,21.0,50.0,31.0,37.0,170.0,0.0,0.0,115838,37397447.8,146.75667742882302,0.0,322842.6578497557,19.35483870967742
150553,PARAUAPEBAS,58.0,52.0,69.0,63.0,78.0,320.0,0.0,0.0,218787,283613436.6,146.26097528646582,0.0,1296299.3075456952,34.48275862068966
150555,PAU D'ARCO,4.0,5.0,1.0,2.0,4.0,16.0,0.0,0.0,5339,990281.8,299.68158831241806,0.0,185480.7641880502,0.0
150560,PEIXE-BOI,3.0,7.0,4.0,5.0,4.0,23.0,0.0,0.0,8084,651434.6,284.51261751608115,0.0,80583.20138545275,33.33333333333333
150563,PICARRA,7.0,11.0,10.0,4.0,6.0,38.0,0.0,0.0,12976,2550483.6,292.8483353884094,0.0,196553.91491985205,-14.285714285714285
150565,PLACAS,4.0,8.0,8.0,5.0,11.0,36.0,0.0,0.0,32325,3057371.6,111.36890951276102,0.0,94582.26140757927,175.0
150570,PONTA DE PEDRAS,6.0,11.0,12.0,13.0,12.0,54.0,0.0,0.0,32007,2269685.2,168.71309401068515,0.0,70912.15046708533,100.0
150580,PORTEL,11.0,14.0,15.0,21.0,12.0,73.0,0.0,0.0,63831,7856777.2,114.36449374128557,0.0,123087.17081042127,9.090909090909092
150590,PORTO DE MOZ,8.0,14.0,8.0,18.0,18.0,66.0,0.0,0.0,42456,3490639.0,155.45505935556812,0.0,82217.8019596759,125.0
150600,PRAINHA,9.0,5.0,8.0,14.0,12.0,48.0,0.0,0.0,29827,3707310.4,160.92801823850874,0.0,124293.7740972944,33.33333333333333
150610,PRIMAVERA,2.0,4.0,10.0,2.0,8.0,26.0,0.0,0.0,10889,3383680.4,238.77307374414545,0.0,310742.9883368537,300.0
150611,QUATIPURU,2.0,5.0,1.0,6.0,5.0,19.0,0.0,0.0,13794,1024742.8,137.7410468319559,0.0,74289.02421342612,150.0
150613,REDENCAO,22.0,29.0,30.0,26.0,37.0,144.0,0.0,0.0,86326,23486648.6,166.80953594513818,0.0,272069.23290781456,68.18181818181817
150616,RIO MARIA,11.0,11.0,9.0,10.0,10.0,51.0,0.0,0.0,18208,6206204.4,280.09666080843584,0.0,340850.41739894554,-9.090909090909092
150618,RONDON DO PARA,25.0,24.0,49.0,26.0,27.0,151.0,0.0,0.0,53242,6876071.6,283.6106832951429,0.0,129147.5076067766,8.0
150619,RUROPOLIS,4.0,6.0,8.0,3.0,5.0,26.0,0.0,0.0,52473,4144501.8,49.54929201684676,0.0,78983.51152021039,25.0
150620,SALINOPOLIS,12.0,7.0,13.0,17.0,22.0,71.0,0.0,0.0,41164,5594784.6,172.48080847342337,0.0,135914.50296375473,83.33333333333334
150630,SALVATERRA,5.0,12.0,12.0,19.0,10.0,58.0,0.0,0.0,24392,1855657.0,237.78287963266646,0.0,76076.45949491637,100.0
150635,SANTA BARBARA DO PARA,9.0,6.0,3.0,5.0,6.0,29.0,0.0,0.0,21811,2111473.6,132.960432809133,0.0,96807.73921415799,-33.33333333333333
150640,SANTA CRUZ DO ARARI,4.0,4.0,13.0,3.0,2.0,26.0,0.0,0.0,10496,797083.8,247.71341463414635,0.0,75941.67301829268,-50.0
150650,SANTA IZABEL DO PARA,20.0,24.0,24.0,16.0,25.0,109.0,0.0,0.0,72856,10311895.4,149.61018996376413,0.0,141538.0394202262,25.0
150655,SANTA LUZIA DO PARA,6.0,5.0,5.0,7.0,8.0,31.0,0.0,0.0,19839,1785261.0,156.25787590100308,0.0,89987.44896416151,33.33333333333333
150658,SANTA MARIA DAS BARREIRAS,4.0,10.0,11.0,11.0,8.0,44.0,0.0,0.0,22244,6996580.8,197.80614997302644,0.0,314537.88886890846,100.0
150660,SANTA MARIA DO PARA,1.0,3.0,6.0,12.0,7.0,29.0,0.0,0.0,25127,3556758.2,115.4136984120667,0.0,141551.24766187766,600.0
150670,SANTANA DO ARAGUAIA,8.0,9.0,14.0,7.0,9.0,47.0,0.0,0.0,75995,12685724.2,61.84617409040068,0.0,166928.4058161721,12.5
150680,SANTAREM,72.0,110.0,167.0,136.0,157.0,642.0,0.0,0.0,308339,57695636.2,208.21238961013688,0.0,187117.5433532573,118.05555555555556
150690,SANTAREM NOVO,2.0,1.0,2.0,5.0,1.0,11.0,0.0,0.0,6796,528542.4,161.8599175985874,0.0,77772.57210123602,-50.0
150700,SANTO ANTONIO DO TAUA,10.0,6.0,8.0,8.0,6.0,38.0,0.0,0.0,32346,4431456.6,117.47975020095221,0.0,137001.68799851605,-40.0
150710,SAO CAETANO DE ODIVELAS,3.0,10.0,8.0,9.0,4.0,34.0,0.0,0.0,18207,1596522.6,186.74136321195147,0.0,87687.29609490855,33.33333333333333
